steam_rva,kind,name,notes
0x0007D770,func,kTextBaseSetTextRva,
0x00108C10,func,kBaseUpdateRva,
0x00109410,func,kUiPageBaseInitRva,
0x001D1990,func,kSwitchPageRva,
0x0032D910,func,kDisplayConfigRva,
0x005E8800,func,kFileNameCtorRva,
0x005E8CE0,func,kFileNameSetIdentifierRva,
0x0061D3F0,func,kReaderGetFileSizeRva,
0x0061D480,func,kReaderOpenRva,
0x0065AEA0,func,kUpdateRva,
0x0081AEE0,func,kOptionsMenuRva,
0x0081D660,func,kAddValueListSettingRva,
0x0081E9C0,func,kGamePageCtorRva,
0x0087ED50,func,kBaseOptionPageDisplayRva,
0x00A963A0,func,kGetUserDataElementRva,
0x00AA5180,func,kPageSetSelectedRva,
0x00AB0220,func,kEditBoxSetTextRva,
0x00AB13F0,func,kElementSetVisibleRva,
0x00CDBB80,func,kAddButtonRva,
0x00CDDFF0,func,kAddSliderSettingRva,
0x00CDE0D0,func,kAddBoolSettingRva,
0x00EAD9D8,data,kPageVtableRva,
0x00FD42D1,data,kEmptyStringProxyRva,
0x00FE3178,data,kEngineSingletonRva,
0x01606360,data,kTimeBlockRva,
0x0164FCA0,data,kNoTextGlobalRva,
0x0164FCA4,data,kYesTextGlobalRva,
