id,steam_rva,kind,name,notes
0,0x00001000,func,,
1,0x00001040,func,,
2,0x00001080,func,,
3,0x00001090,func,,
4,0x000010B0,func,,
5,0x000010D0,func,,
6,0x00001100,func,,
7,0x00001130,func,,
8,0x00001190,func,,
9,0x00001270,func,,
10,0x00001320,func,,
11,0x00001610,data,,
12,0x0000162E,data,,
13,0x00001630,data,,
14,0x00001744,data,,
15,0x00001750,data,,
16,0x00001780,func,,
17,0x00001800,func,,
18,0x000018B0,func,,
19,0x00001980,func,,
20,0x00001A40,func,,
21,0x00001AD0,func,,
22,0x00001BA0,func,,
23,0x00001BB0,func,,
24,0x00001BD0,func,,
25,0x00001BE0,func,,
26,0x00001BF0,func,,
27,0x00001C80,func,,
28,0x00001C90,func,,
29,0x00001CB0,data,,
30,0x00001CC0,func,,
31,0x00001CD0,func,,
32,0x00001CF0,func,,
33,0x00001D80,func,,
34,0x00001E00,func,,
35,0x00001E20,func,,
36,0x00001E90,func,,
37,0x00001F00,func,,
38,0x00001F70,func,,
39,0x00001FE0,func,,
40,0x00002050,func,,
41,0x000020A0,func,,
42,0x000020F0,func,,
43,0x00002140,func,,
44,0x00002160,func,,
45,0x00002180,func,,
46,0x00002190,func,,
47,0x00002220,func,,
48,0x00002240,func,,
49,0x000022A0,func,,
50,0x0000231C,func,,
51,0x0000234B,func,,
52,0x000023E3,func,,
53,0x00002430,func,,
54,0x000024AE,func,,
55,0x000024DF,func,,
56,0x00002576,func,,
57,0x000025C0,func,,
58,0x00002640,func,,
59,0x00002680,func,,
60,0x000026B0,func,,
61,0x000026E0,func,,
62,0x000027B0,func,,
63,0x00002890,func,,
64,0x000028D0,func,,
65,0x00002990,func,,
66,0x00002A90,func,,
67,0x00002B20,func,,
68,0x00002BE0,func,,
69,0x00002CB0,func,,
70,0x00002D30,func,,
71,0x00002DF0,func,,
72,0x00002EB0,func,,
73,0x00002EF0,func,,
74,0x00002F40,func,,
75,0x00003050,func,,
76,0x000030A0,func,,
77,0x000030F0,func,,
78,0x000031D0,func,,
79,0x000032A0,func,,
80,0x000032C0,func,,
81,0x000032E0,func,,
82,0x00003330,func,,
83,0x00003360,func,,
84,0x000033B0,func,,
85,0x00003490,func,,
86,0x00003570,func,,
87,0x000035A0,func,,
88,0x00003840,func,,
89,0x00003E10,func,,
90,0x00004180,func,,
91,0x000044F0,func,,
92,0x00004670,func,,
93,0x00004900,func,,
94,0x00005FA0,func,,
95,0x00006030,data,,
96,0x00006050,func,,
97,0x00006130,func,,
98,0x00006510,func,,
99,0x000065B0,func,,
100,0x00006600,func,,
101,0x00006710,func,,
102,0x000067F0,func,,
103,0x00006860,func,,
104,0x00006960,func,,
105,0x00006AE0,func,,
106,0x00006B80,func,,
107,0x00006BA0,func,,
108,0x00006BC0,func,,
109,0x00006C40,func,,
110,0x00006CB0,func,,
111,0x00006EB0,func,,
112,0x00006FC0,func,,
113,0x00007050,func,,
114,0x000075A0,func,,
115,0x00007D00,func,,
116,0x00007DB0,func,,
117,0x00007E60,func,,
118,0x00008080,func,,
119,0x000080C0,func,,
120,0x00008100,func,,
121,0x000081D0,func,,
122,0x00008390,func,,
123,0x000084F0,func,,
124,0x00008620,func,,
125,0x00008EE0,func,,
126,0x00008EF0,func,,
127,0x00008F00,func,,
128,0x00009010,func,,
129,0x000090B0,func,,
130,0x00009120,data,,
131,0x00009180,func,,
132,0x000091A0,func,,
133,0x00009260,func,,
134,0x000092E0,func,,
135,0x000094F0,func,,
136,0x0000990C,data,,
137,0x00009948,data,,
138,0x000099B8,data,,
139,0x00009A60,func,,
140,0x00009B80,func,,
141,0x00009C10,func,,
142,0x00009C30,func,,
143,0x00009C40,func,,
144,0x00009C50,func,,
145,0x00009CB0,func,,
146,0x00009D40,func,,
147,0x00009DE0,func,,
148,0x00009FD0,data,,
149,0x0000A060,func,,
150,0x0000A230,data,,
151,0x0000A3D0,func,,
152,0x0000A450,func,,
153,0x0000A740,func,,
154,0x0000A880,func,,
155,0x0000A8F0,data,,
156,0x0000A9B0,func,,
157,0x0000AAE0,func,,
158,0x0000AC90,func,,
159,0x0000ACC0,func,,
160,0x0000AD00,func,,
161,0x0000AD40,func,,
162,0x0000AE10,func,,
163,0x0000AF10,func,,
164,0x0000AF80,func,,
165,0x0000B0B0,func,,
166,0x0000B1D0,func,,
167,0x0000B210,func,,
168,0x0000B3A0,func,,
169,0x0000B580,data,,
170,0x0000B6A0,func,,
171,0x0000B910,func,,
172,0x0000BB70,func,,
173,0x0000BBB0,func,,
174,0x0000BC50,func,,
175,0x0000BCF0,func,,
176,0x0000BE20,func,,
177,0x0000BE60,func,,
178,0x0000BF00,func,,
179,0x0000C030,func,,
180,0x0000C120,func,,
181,0x0000C150,func,,
182,0x0000C1B0,func,,
183,0x0000C200,func,,
184,0x0000C230,func,,
185,0x0000C330,func,,
186,0x0000C530,func,,
187,0x0000C7C0,func,,
188,0x0000CB30,func,,
189,0x0000CBA0,func,,
190,0x0000CD50,func,,
191,0x0000CDF0,func,,
192,0x0000D170,func,,
193,0x0000D200,func,,
194,0x0000D210,func,,
195,0x0000D260,func,,
196,0x0000D290,func,,
197,0x0000D300,func,,
198,0x0000D310,func,,
199,0x0000D350,func,,
200,0x0000D390,func,,
201,0x0000D3D0,func,,
202,0x0000D410,func,,
203,0x0000D4EC,data,,
204,0x0000D558,data,,
205,0x0000D5C0,func,,
206,0x0000D680,func,,
207,0x0000D690,func,,
208,0x0000D740,func,,
209,0x0000D7F0,func,,
210,0x0000D900,data,,
211,0x0000D910,data,,
212,0x0000D920,func,,
213,0x0000D950,func,,
214,0x0000D9F0,func,,
215,0x0000DA30,func,,
216,0x0000DA40,func,,
217,0x0000DB20,func,,
218,0x0000DB40,func,,
219,0x0000DB60,func,,
220,0x0000DB80,func,,
221,0x0000DBD0,data,,
222,0x0000DBE0,data,,
223,0x0000DBF0,data,,
224,0x0000DC20,func,,
225,0x0000DC90,func,,
226,0x0000DCD0,func,,
227,0x0000DDD0,func,,
228,0x0000DE20,func,,
229,0x0000DE80,func,,
230,0x0000DF50,func,,
231,0x0000DF90,func,,
232,0x0000E000,func,,
233,0x0000E010,func,,
234,0x0000E030,func,,
235,0x0000E0E0,func,,
236,0x0000E100,func,,
237,0x0000E120,func,,
238,0x0000E150,func,,
239,0x0000E160,func,,
240,0x0000E170,func,,
241,0x0000E180,func,,
242,0x0000E190,func,,
243,0x0000E1F0,func,,
244,0x0000E230,func,,
245,0x0000E260,func,,
246,0x0000E280,func,,
247,0x0000E290,func,,
248,0x0000E2A0,func,,
249,0x0000E2B0,func,,
250,0x0000E2D0,func,,
251,0x0000E380,func,,
252,0x0000E400,func,,
253,0x0000E450,func,,
254,0x0000E480,func,,
255,0x0000E4A0,func,,
256,0x0000E4D0,func,,
257,0x0000E6B0,func,,
258,0x0000E6D0,func,,
259,0x0000E700,data,,
260,0x0000E730,func,,
261,0x0000E834,data,,
262,0x0000E8F0,func,,
