# MOVE graph names, keyed by CPathID (CRC-32 of the lowercased name).
# Generated by `jackall-cli move names`; do not hand-edit.
# Recovered from the *named.bin authoring twins by hashing every string they
# hold and keeping the ones a loadable graph actually keys on - so every row
# here is self-proving, and the twins' own format never had to be decoded.
003CC546	ml12_se03_Victim_SitAlerted_idle
00913F15	ML03_SE01_Boss_Rbst_D
00ADB0CF	sm06_se01ufll_boss_exit_idle2
00D708D8	pawn_st_social_awaleabort
00F04D4D	Pawn_ST_Rest_SmokeAbort
013CCADF	sm08_se01apr_boss_recap
015FE0BC	pawn_hmrhealth_lyingidle
017087CF	Pawn_Generic_Swim
019E17D8	pawn_gesture_QuestionFrustrated
01A07022	gm00_se01_idle2
01E0D47A	pkg_a2sm08_se03_apr
01F6FDD5	Pawn_ST_Rest_SitOnGroundPost
020A749B	ML02_SE01_Boss_Offer
023EFE38	ML08_SE01_Helper_Greet_Idle
0250D93C	Pawn_Gesture_Patience
028AE1E0	DLC1_MagicCrateSwitch_Start
02DE8366	ML04_SE01_Boss_Convo_Idle
02E0171F	sm08_se01ufll_helper_convo
02ECA996	ML12_SE01_Helper_Rbst_B
02ED2962	ML11_SE01_Boss_GreetAC
034D45B1	sm00_se01_CivilianTrash2_Event_140
037EC0A4	sm08_se01apr_boss_greet
03827558	sm08_se01ufll_helper_greet_idle
0382BEF9	ML09_SE01_Boss_Convo
038C16B5	pawn_gesture_beckonfarwavestandquick
043127A2	pawn_st_social_scootoverbsitpost
046C5777	pawn_st_social_conversationpre
0475C062	Pawn_Generic_ChangeAmmo
049C114A	Pawn_ST_Rest_SitOnGroundV3Post
0512F698	ML08_SE01_Boss_Rbst_AA_AC
05339C1C	pawn_st_social_collaborativesurveillance
0535277A	sm00_se01_TaxiDriver_Event_070
05455496	ML01_SE01_Boss_Rbst_D
05A0DE22	SM16_SE01_Jack_Recap_Idle
0628F278	sm08_se01ufll_boss_wait
0632D7F9	pawn_gesture_handsup2
0657F56A	ml01_se03_ChiefsBrother_Intimidation
068334EE	pawn_gesture_Perceiving
0687A32F	Pawn_Gesture_TskTsk
068CE276	pawn_hmrhealth_oncoverexpire
06A02CC1	ML02_SE01_Boss_Rbst_B
06E28CA4	Dart_Rifle
06E56097	Pawn_ST_Rest_Sit3Post
0787DB1F	civilians_male03_reactionPre
078A4AF3	ML07_SE04_DJLord_Greet_DialA
078B2252	Pawn_ST_Rest_Sit3Abort
07A904C7	sm08_se01apr_boss_greet_idle
07B68850	sm08_se03_ufll_Player_Rbst
07D04B4A	ML07_se01_Boss_Abort_AB
07E66DA6	Pawn_ST_Rest_Eat2Pre
08126B29	pawn_gesture_searchalert
08141C53	Pawn_ST_Rest_LeanBackWall
087DB227	ml04_se03_informant_Intimidation
089BC31D	pkg_barge
08D7D720	pawn_st_duty_megaphone
08DC9044	ML04_SE01_Boss_Rbst_B
09080E89	ML02_SE01_Helper_Greet_Idle
0972F3CC	ML12_SE01_Boss_Rbst_AA_AC
09773874	Pawn_ST_Rest_SleepBedV4Post
097EBB23	Guard_OpenMainDoor_Inside
09C03013	ML01_SE01_Helper_Rbst_AB_AD
09F84795	ML03_SE01_Boss_Rbst_AB_AD
0A02FDBC	ml04_SE01_helper_accept
0A9F3D7E	Pawn_ST_Social_Dice
0AC04786	ML11_SE01_Boss_Convo
0B138B1E	Pawn_Sync_Machete_FinishDouble
0B16AF68	pawn_st_social_sniperspotterb
0B269955	sm08_se01apr_helper_pickupfiles
0B32CDC1	pawn_social_aimedat_loop
0B39E813	ML07_se01_Boss_Rbst_D
0B5C4939	DLC_Unimog_Driving
0B9F3A7A	DLC1_UnJamSucess
0C149411	ML12_SE01_Helper_Recap_Idle
0C1548B2	Pawn_ST_Rest_Jumpjack
0C483143	pawn_st_rest_leanvt_left
0C63E7DA	pawn_gesture_rollingout
0C73DE7B	pawn_gesture_shoved
0C7FDA80	sm11_se01ufll_boss_recap
0D08FBC7	ML06_SE01_Boss_Rbst_B
0D10E3C1	pawn_st_duty_surveillancepre
0D282D6A	Pawn_ST_Duty_CleanVertPost
0D816F8B	ML07_se01_Helper_Abort_AA
0D8F4327	ML07_se01_Boss_Greet_Idle
0DC2E3CD	sm00_se01_Player_Braking1
0DFBA2B1	Pawn_Generic_Melee_Charge_Begin
0E3DD0FB	sm11_se01ufll_boss_greet
0E469D54	BodyWhaWha_BaseLayer_Stand
0E6DCA2E	pawn_gesture_okb
0E8F6A11	Pawn_Generic_Mounted_Gesture
0EA20351	bottlescotch_specific
0EE70BC9	ML08_SE01_Helper_Accept_Idle
0F2E15E3	Pawn_ST_Social_AbortedConversation
0F6EC50D	pawn_buddydown_CradleIdle
0F7A2FD9	ml09_se01_buddy
102B0C63	ML05_Base_Boss_Convo_Idle
10337DC3	pawn_gesture_shove1front
104E6693	Pawn_ST_Rest_SmokePost
10633208	pkg_a1sm02_se01_apr
106C3641	ml08_se03b_player_InstalDynamite_Back
108D22B2	ML01_SE01_Boss_GreetAB
1091898F	cine_civ06
10A33C8A	Pawn_ST_Social_Spectator
10E1947B	SwampBoat
10EEB005	pawn_st_social_sniperspotterbpre
1132B47B	ML03_SE01_Helper_Rbst_D
113C1DEB	ML04_SE01_Boss_Convo
113E8F94	sm00_se01_ConvoyDriver_Event100_End
116B14D1	sm08_se03_apr_Boss_Dead_idle
11FBE3F7	ML12_SE01_helper_accept
12121F68	Pawn_Generic_LadderGetInBottom
1214FA9A	ML09_SE01_Boss_Rbst_D
121CFA7F	pkg_a1lm04_se03
123A9258	ML09_SE01_Boss_Rbst_AA_AC
125EA11E	pawn_hmrhealth_tolying
1299A4EF	sm08_se03apr_bwrld_dead
12C83697	sm08_se03apr_player_brief_b0
12DDA207	sm00_se01_GuardLeft1_Event_80
12FF79CA	sm05_se01a_player_drinkrecover
131170CE	sm08_se01ufll_boss_convo
1320A221	sm04_se01_corpse03_idle
132876A6	pawn_hmrhealth_kneetocarry
1335BC02	ML07_se01_Boss_GreetAE
133E14D5	ML03_SE01_Boss_GreetAC
139496F3	pawn_hmrhealth_carrydrop
139B6CBD	sm02_se01ufll_boss_pickupfile
14197A22	DLC1_Holster
141E2D95	pawn_gesture_HurryUpV1
1425E94E	ML08_SE01_Boss_Rbst_B
1458781B	ML07_se01_Boss_GreetAA
1463CCB5	cine_civfemale_walk02
14C44564	Pawn_ST_Duty_Guard1
1541D3E6	ml12_se05_informant_Intimidation
1553C248	Pawn_ST_Rest_Eat1Pre
1599A617	ml01_se03_ChiefsBrother_Accept_idle
15A86298	sm16_se02a_player_end
160BEDE4	Pawn_Vehicle_Barge_Loop
16135C75	ml04_se03_informant_Sit_idle
161A49C6	pawn_st_social_drinkbeercrateBabort
167E819D	G3KA4
16CDBAB9	sm02_se01ufll_boss_recap_idle
17012E2D	ML03_SE01_Helper_Accept_Idle
1740BA89	sm08_se01apr_boss_greet_a
17E0E6AB	ML01_SE01_Boss_GreetAF
17FC4D96	cine_civ02
1832D680	pawn_gesture_gagb
185B2296	Pawn_ST_Duty_WipingTablePre
186DA091	sm05_se01b_greaves_beckngreetdialexit
187E1392	ML07_se01_Helper_PickUp_File
18902118	Pawn_Generic_Inactive
18A8B1D2	pawn_buddydown_cradlegunawayidles
18C481B8	sm06_se01apr_boss_recap
18C63475	Pawn_ST_Rest_JumpjackPre
18DD2D88	Pawn_ST_Duty_Inventory1
1915B7DD	ML04_SE01_Helper_Rbst_B
192C3F37	ML09_SE01_Boss_GreetAB
19362620	Pawn_ST_Rest_LeanBackWallPre
1946DF69	pawn_st_duty_First_Aid_End
19517179	Pawn_BuddyRescue_Entry_Anchor
195A04B3	sm02_se01apr_boss_greet_b
19776DF3	Pawn_Generic_OpenDoor_Outside
1991725D	Pawn_ST_Rest_Lean1_rightpost
1994FBFD	Guard_OpenMainDoor_Outside_Player
19A2564F	ML04_SE01_Helper_Recap_Idle
19A600B9	ML06_SE01_Helper_Offer
19AABC16	ml05_base_player_pickupframe
19D22E4E	ML05_Base_Helper_Recap_Idle
19D26C71	sm03_se02b_ChurchAssault01
1A08B052	buddy_unlock_stand_idle
1A868BC3	sm06_se01apr_boss_greet
1A9885F2	sm06_se01apr_boss_briefing
1AA727E7	ML06_SE01_Boss_Greet_Idle
1AA90B4B	ML06_SE01_Helper_Abort_AA
1AFA8725	ML01_SE01_Boss_Abort_AA
1B17CD2B	ML05_Base_Helper_Offer
1B1ECBA3	pawn_buddydown_cradleentryshort
1B1FFC90	dlc1__sawedoff_shotgun
1B285160	pawn_st_duty_lightfireabort
1B36F3F2	Pawn_machete_killGround
1B3E47A9	ml01_se03_ChiefsBrother_Greet
1B53BBBB	sm02_se01apr_boss_recap_idle
1B5552C3	sm08_se03ufll_jackc_brief_ca
1B831D90	pawn_gesture_PanicV1
1C295501	ML11_SE01_Boss_Abort_AB
1C2E163B	sm00_se01_TaxiDriver_Event_060
1C32C9E1	SM09_SE05_Buddy_StandIdle
1C35F267	Pawn_ST_Layer_Drink1Post
1C62DCF6	Pawn_ST_Rest_LeanWall1V3Abort
1C64461E	ML04_SE03_Informant_SitIdle
1CA82B97	sm11_se01ufll_boss_convo_idle
1D7B5735	ML05_Base_Helper_Recap
1D9D57D1	sm10_se02_buddy_DialSpotA
1DF75CE8	sm11_se01apr_boss_exit
1DFF2288	pawn_gesture_firingpistol
1E012E5E	SPAS12
1E056DBF	sm02_se01apr_boss_pickupfile
1E0C9E28	3rdGe_FulB_BspSitIdle01+000Fw_NoWep_I1
1E2202E0	sm08_se03ufll_jackc_brief_b0
1E28002D	ML09_SE01_Boss_Abort_AB
