# Corpus reachability verdicts. Generated by `jackall-cli xref reach`;
# do not hand-edit. Methodology: docs/docs/engine-internals/asset-reachability.md
# hash	path	verdict	flags	bytes	outRefs	reason
F207408F	config\presets\ps3\cryers.xml	unused	-	2277	0	console-only
589D0E49	config\presets\ps3\default.xml	unused	-	17	0	console-only
D9FF09DE	config\presets\ps3\frontshooter.xml	unused	-	2812	0	console-only
E34FB3A1	config\presets\ps3\frontshooterlefty.xml	unused	-	5692	0	console-only
FCC5190D	config\presets\ps3\lefty.xml	unused	-	5607	0	console-only
43E536A4	config\presets\ps3\longrun.xml	unused	-	1410	0	console-only
38145F84	config\presets\ps3\survivor.xml	unused	-	2199	0	console-only
559ED846	config\presets\xenon\cryers.xml	unused	-	2277	0	console-only
BA82EDC5	config\presets\xenon\default.xml	unused	-	17	0	console-only
1211CFB8	config\presets\xenon\frontshooter.xml	unused	-	2810	0	console-only
2D6973B9	config\presets\xenon\frontshooterlefty.xml	unused	-	5692	0	console-only
027BB1E9	config\presets\xenon\lefty.xml	unused	-	5606	0	console-only
A1FAD528	config\presets\xenon\longrun.xml	unused	-	1411	0	console-only
DCF88F6C	config\presets\xenon\survivor.xml	unused	-	2202	0	console-only
6A0B31EE	domino\system\acceptedmissioncount.lua	unknown	-	886	0	opaque-referrers(domino)
CC7A5D2E	domino\system\bedroll.lua	unknown	-	993	0	opaque-referrers(domino)
C3154C81	domino\system\cheat_setrescuebuddy.lua	unknown	-	975	0	opaque-referrers(domino)
EF70E534	domino\system\detectsocialengagement.lua	unknown	-	2315	0	opaque-referrers(domino)
963C1800	domino\system\dlc1weaponsspawn.lua	unknown	-	6799	0	opaque-referrers(domino)
C03F5D42	domino\system\getmalariapillscount.lua	unknown	-	746	0	opaque-referrers(domino)
A03B1F90	domino\system\getmissionstate.lua	unknown	-	1139	0	opaque-referrers(domino)
D5AA83F2	domino\system\gettimeofday.lua	unknown	-	818	0	opaque-referrers(domino)
D53C8C12	domino\system\inputlistener.lua	unknown	-	1257	0	opaque-referrers(domino)
F48BD60B	domino\system\playermalariaevents.lua	unknown	-	1652	0	opaque-referrers(domino)
702524B3	domino\system\randomboolean.lua	unknown	-	818	0	opaque-referrers(domino)
BF5DCB9D	domino\system\randomfloat.lua	unknown	-	922	0	opaque-referrers(domino)
240226F2	domino\system\randominteger.lua	unknown	-	915	0	opaque-referrers(domino)
D5A61740	domino\system\removeentitiesintrigger.lua	unknown	-	934	0	opaque-referrers(domino)
7585DB22	domino\system\sendsocialeventtopawn.lua	unknown	-	765	0	opaque-referrers(domino)
FE4D380C	domino\system\spawnmissionitem.lua	unknown	-	1599	0	opaque-referrers(domino)
BB617A0E	domino\system\subvertedmissioncount.lua	unknown	-	896	0	opaque-referrers(domino)
1D0FBE1C	domino\system\usableentity.lua	unknown	-	2847	0	opaque-referrers(domino)
3C8E9E38	domino\system\wasbetrayed.lua	unknown	-	908	0	opaque-referrers(domino)
675E321C	domino\user\a1bu00_tutorial.a1bu00_healtheven.debug.lua	unused	DECOY	8267	5	unreachable:authoring-twin
066046C5	domino\user\a1bu00_tutorial.a1bu00_initvariable.debug.lua	unused	DECOY	13578	4	unreachable:authoring-twin
CCEDCD3F	domino\user\a1bu00_tutorial.a1bu00_initvariable.lua	unknown	-	8110	4	opaque-referrers(domino)
97173108	domino\user\a1bu00_tutorial.a1bu00_safehousetut.debug.lua	unused	DECOY	39542	12	unreachable:authoring-twin
73DA50BB	domino\user\a1bu00_tutorial.a1bu00_scouting.debug.lua	unused	DECOY	41707	13	unreachable:authoring-twin
63F546B0	domino\user\a1bu00_tutorial.a1bu00_storymission.debug.lua	unused	DECOY	639793	80	unreachable:authoring-twin
3DAB9335	domino\user\a1bu00_tutorial.a1bu00_swap.debug.lua	unused	DECOY	1982	2	unreachable:authoring-twin
8060239F	domino\user\a1bu00_tutorial.a1bu00_tutorialheal.debug.lua	unused	DECOY	10998	9	unreachable:authoring-twin
216E03F9	domino\user\a1bu00_tutorial.a1bu00_weaponshop.debug.lua	unused	DECOY	7105	6	unreachable:authoring-twin
CBA3BAD2	domino\user\a1bu00_tutorial.lieutenant_phonecall.debug.lua	unused	DECOY	83976	11	unreachable:authoring-twin
77F22FC5	domino\user\a1bu01_prison.a1bu01_briefing_hq.debug.lua	unused	DECOY	5015	5	unreachable:authoring-twin
259A8B10	domino\user\a1bu01_prison.a1bu01_briefing_hq.lua	unknown	-	3354	5	opaque-referrers(domino)
10175373	domino\user\a1bu01_prison.a1bu01_mission.debug.lua	unused	DECOY	61893	26	unreachable:authoring-twin
26C0D8DC	domino\user\a1bu01_prison.a1bu01_storymission.debug.lua	unused	DECOY	9104	9	unreachable:authoring-twin
75BA2E3A	domino\user\a1bu02_arena.a1bu02_briefing_hq.debug.lua	unused	DECOY	5006	5	unreachable:authoring-twin
1216E135	domino\user\a1bu02_arena.a1bu02_briefing_hq.lua	unknown	-	3352	5	opaque-referrers(domino)
55833C5E	domino\user\a1bu02_arena.a1bu02_mission.debug.lua	unused	DECOY	62085	26	unreachable:authoring-twin
0BC07F50	domino\user\a1bu02_arena.a1bu02_storymission.debug.lua	unused	DECOY	9080	9	unreachable:authoring-twin
27E2EF2E	domino\user\a1bu03_dunkcage.a1bu03_briefing_hq.debug.lua	unused	DECOY	5032	5	unreachable:authoring-twin
25FAC397	domino\user\a1bu03_dunkcage.a1bu03_briefing_hq.lua	unknown	-	3358	5	opaque-referrers(domino)
1CD2943D	domino\user\a1bu03_dunkcage.a1bu03_mission.debug.lua	unused	DECOY	59524	26	unreachable:authoring-twin
1148F3EC	domino\user\a1bu03_dunkcage.a1bu03_storymission.debug.lua	unused	DECOY	9074	9	unreachable:authoring-twin
649715EC	domino\user\a1bu04_slaughterhouse.a1bu04_briefing_hq.debug.lua	unused	DECOY	5074	5	unreachable:authoring-twin
54036EDC	domino\user\a1bu04_slaughterhouse.a1bu04_briefing_hq.lua	unknown	-	3370	5	opaque-referrers(domino)
A738AC5F	domino\user\a1bu04_slaughterhouse.a1bu04_mission.debug.lua	unused	DECOY	57084	26	unreachable:authoring-twin
6461258A	domino\user\a1bu04_slaughterhouse.a1bu04_storymission.debug.lua	unused	DECOY	9130	9	unreachable:authoring-twin
2529690E	domino\user\a1bu08_mountaincessna.a1bu08_mission.debug.lua	unused	DECOY	41783	29	unreachable:authoring-twin
023041E5	domino\user\a1gm00_grindelivery.a1gm00_endoftutorial.debug.lua	unused	DECOY	1829	2	unreachable:authoring-twin
00DA5134	domino\user\a1gm00_grindelivery.a1gm00_journalistbriefing.debug.lua	unused	DECOY	51715	15	unreachable:authoring-twin
