# hash	name
# Recovered by CRC32 dictionary-matching every ASCII string constant in FarCry2_server's
# rodata + symbol table against every hash actually seen in a real save's exported
# PersistenceDB tree (byte-exact match, both directions verified via Ghidra MCP over the
# live fc2.gpr project). See reverse/dunia/savegame_format.md for methodology and caveats.
# Name-only: this table does not assert a wire type (see SaveGameFieldCatalog for that).
7A33C5A1	KeyType
4A2D3B32	hidVariables
B083E9A2	ValueType
F2FD440B	hidChildrens
725BF5BD	WorldMatrix
C2905138	isFromArchetype
C4E3A868	OriginalSector
D1518DE3	SectorInfo
680B1866	ForceSpawn
5EAA2145	RelativeTime
71858863	RenderInNearZViewPortID
542EF648	CurrentHealth
5AD5A630	PartType
94DB9129	CollisionSystemGroup
598BA486	StimImmunity
1D4D3D68	hidCanPlayFallingSound
A41CA762	hidWaterSplashTimer
802B3E7F	hidLastVelocity
06C59987	SavedParticleSystems
13BFD179	Ending
B29601DC	InRunningLoop
C583BB97	ExitSignal
A24D60D5	Stopping
BD19DD35	ExecutionBroken
6B6A7AB4	GraphicMatrixToIdentity
A463782E	ScriptCallbackId
0B9CF5A1	hidCallbacks
C9E2DA9C	CurrentStateNode
B5DAEB83	ResId
9C5891A6	TypeId
13B51207	IndependantScanners
E7A12CAE	ExecutionTasks
FDF6BDB9	IndependantTasks
9789D8E4	ExecutionScanners
E98BCA36	IsPrimarySlotRunning
57CBAE47	IsSecondarySlotRunning
35A9F616	ParentSlot
2B0636AE	ReservedBy
83B1F50E	CachedAnchorPosition
EE3FCD0D	IsReady
5276954B	CachedAnchorOrientation
9A721114	Discovered
5BB71939	DirtyTime
18807849	Dirty
13A0677D	RootTransform
E4304C8F	PrecisePosition
7AF9262B	LocalPos
8211A17E	LogicalBind
763C0C93	LocalAngles
3E8ED4BD	CurrentUniqueUserId
58746832	UserID
0C040FC2	SavedLinks
0B9B2920	ResourceEntry
4EDBB4B4	CommandName
7C35DA25	bActive
168096B6	Attachement
71954E8B	BeingUsed
FE1334A5	WielderID
49631075	Terms
4F2563CE	fOpenCounter
5E6B5E56	fCloseCounter
D0A425F9	fTimeSinceOpen
9A7D017C	bOpened
7EAF2617	IsPaused
A124C3EE	External
7158D206	EquipmentID
0C1D54F8	hidListeners
C2B33FCA	EntityRegisteredEvents
810E92B5	RefillAmmoAfterNextEquip
D56EB6C6	CurrentBulletSpread
21FBC812	ConsecutiveShots
8A289C08	RescueIndex
1F3945E1	RememberedAmmoOverflow
46D6D5CE	RememberedAmmoInClip
43141CD7	BuddyIndex
35A14209	PreparedForUse
F3C5A66A	JammingBullet
D7D778B0	AutoReloadOnUnequip
1C97590F	MaxReliability
CC5F30F8	FovOverrideTransitionPercent
E04B85D9	NonScaledDuration
606B06FE	ReactionMoveId
D4D5D195	FovOverrideTransitionTime
ECFA83D3	RequestedSignals
DE99C720	AimAngles
405104DC	StartedCallbackSent
3CE87919	SyncWithEntity
4D71DE08	RequestFinishedCallback
D2A51FBB	IsSyncState
AD196C22	FovOverrideEnabled
519DEE85	UsingLook
30AEB8FF	LastInstigator
E8783C38	FovOverride
7C591934	AimDistance
C366DBCB	CurrentLoop
4A17167B	BarkLookAngles
D31D977E	IsLooping
FC089A85	UsingAim
D08D2D80	UsingBarkLook
8904CA3A	SprintLock
D086398E	FinishingSoonCallback
D56DDCF9	FovOverrideMagnitude
286EE9A7	JumpLock
